"Userid"	"Notification id"	"Type"	"Category"	"Title"	"Action"	"Lat"	"Lng"	"Timestamp"
"0"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.497984674"	"23.760734290000002"	"2018-10-15 18:00:00.000"
"1"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498012674"	"23.76099629"	"2018-10-15 18:00:00.000"
"2"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498190674"	"23.76096029"	"2018-10-15 18:00:00.000"
"3"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498262674"	"23.76088829"	"2018-10-15 18:00:00.000"
"4"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498156674"	"23.760900290000002"	"2018-10-15 18:00:00.000"
"5"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498314674"	"23.76083029"	"2018-10-15 18:00:00.000"
"6"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498316674"	"23.76064629"	"2018-10-15 18:00:00.000"
"7"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498120674"	"23.760828290000003"	"2018-10-15 18:00:00.000"
"8"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498084674000005"	"23.760638290000003"	"2018-10-15 18:00:00.000"
"9"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498000674000004"	"23.76072229"	"2018-10-15 18:00:00.000"
"10"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498240674"	"23.760748290000002"	"2018-10-15 18:00:00.000"
"11"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498350674"	"23.760890290000003"	"2018-10-15 18:00:00.000"
"12"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498362674"	"23.76074429"	"2018-10-15 18:00:00.000"
"13"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498164674"	"23.76077429"	"2018-10-15 18:00:00.000"
"14"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498354674000005"	"23.76067429"	"2018-10-15 18:00:00.000"
"15"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498246674"	"23.761028290000002"	"2018-10-15 18:00:00.000"
"16"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498290674"	"23.760862290000002"	"2018-10-15 18:00:00.000"
"17"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498128674"	"23.760710290000002"	"2018-10-15 18:00:00.000"
"18"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498128674"	"23.76066429"	"2018-10-15 18:00:00.000"
"19"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498232674"	"23.76069229"	"2018-10-15 18:00:00.000"
"20"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498070674000004"	"23.760720290000002"	"2018-10-15 18:00:00.000"
"21"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498350674"	"23.76077029"	"2018-10-15 18:00:00.000"
"22"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498176674"	"23.76097829"	"2018-10-15 18:00:00.000"
"23"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498188674000005"	"23.76096429"	"2018-10-15 18:00:00.000"
"24"	"21"	"data"	""	"Keskustori"	"beaconArrival"	"61.498242674000004"	"23.76071829"	"2018-10-15 18:00:00.000"
